id,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25
6869,-12.08,0.51,17.99,2.13,-0.09,5.8,9.19,2.56,-1.43,-4.0,83,7,54,35,62,C,E,B,B,B,1.0,1.0,0.0,1.0,0.0
24017,-4.93,-8.94,-2.15,3.5,16.78,2.13,-3.14,-4.05,1.81,13.35,68,25,33,65,63,E,A,E,A,B,0.0,0.0,0.0,0.0,1.0
9669,-13.22,-1.57,17.74,4.82,0.01,2.11,13.76,-1.95,4.04,-4.53,95,19,12,69,49,B,A,B,E,E,0.0,0.0,1.0,1.0,1.0
13641,-2.52,-1.22,0.62,-2.85,-1.38,4.51,0.5,5.3,-3.85,-2.47,58,59,37,27,53,C,E,E,D,D,1.0,0.0,0.0,1.0,0.0
14019,-0.93,0.06,2.97,1.52,-1.43,2.65,8.77,12.32,2.08,3.81,44,47,88,62,31,D,B,E,A,A,0.0,1.0,0.0,1.0,0.0
7489,-19.28,2.31,18.4,-0.39,-5.31,7.51,13.08,3.94,2.87,-16.74,83,9,66,84,94,C,D,E,E,C,0.0,1.0,0.0,0.0,0.0
5805,-13.38,-3.1,13.31,0.28,-6.65,2.21,15.81,-0.5,-2.6,0.13,100,1,11,12,39,B,A,B,D,D,0.0,1.0,1.0,1.0,0.0
12910,0.91,3.29,0.82,1.63,2.4,1.75,8.65,10.71,-1.5,-2.26,51,57,24,58,99,D,C,D,D,A,1.0,1.0,1.0,0.0,1.0
3387,13.7,12.55,1.95,-12.78,-2.53,10.62,-6.87,-6.14,1.46,1.7,13,96,35,21,86,A,A,B,E,B,1.0,0.0,1.0,0.0,0.0
9568,-12.54,3.46,13.3,-1.71,-1.76,-5.56,3.88,0.42,7.04,13.59,84,13,62,23,19,C,E,A,A,B,0.0,1.0,1.0,1.0,1.0
21424,-1.6,-7.94,-5.24,0.74,12.1,2.82,-0.47,2.83,-0.03,6.01,70,31,40,84,70,E,B,A,B,E,0.0,0.0,1.0,1.0,0.0
3504,15.0,10.96,2.11,-1.78,-4.44,11.12,7.63,2.84,0.03,-2.73,2,93,12,99,90,A,A,C,E,A,1.0,0.0,0.0,1.0,0.0
6658,-18.1,1.08,13.45,-1.91,-5.78,-2.14,13.88,1.03,-2.59,-6.83,81,8,7,84,38,B,C,E,E,C,0.0,1.0,0.0,1.0,1.0
19193,0.39,1.6,-2.33,-15.74,-15.77,-0.38,2.43,-2.67,9.38,4.31,22,73,74,36,76,D,E,E,D,B,1.0,0.0,0.0,0.0,1.0
2519,14.48,12.72,1.14,3.44,-2.01,12.74,4.74,-1.23,1.02,4.19,11,95,65,34,93,A,B,B,C,C,1.0,0.0,1.0,0.0,0.0
13362,-0.35,2.45,0.07,-1.28,0.67,2.79,-6.03,5.99,1.04,-3.67,59,50,85,76,23,C,B,D,E,C,1.0,0.0,0.0,1.0,1.0
21136,5.89,-9.84,-1.51,8.0,18.63,7.74,7.22,-8.27,0.65,11.45,79,21,69,63,88,E,B,D,D,B,0.0,1.0,1.0,0.0,0.0
21081,-1.35,-8.38,-4.49,10.34,10.3,-1.5,-0.25,-0.8,-11.02,9.66,64,22,24,30,86,E,A,A,C,A,1.0,1.0,0.0,1.0,1.0
6493,-16.41,-0.27,19.37,1.96,0.19,-7.26,4.93,-2.35,-3.23,-17.81,87,19,26,52,31,B,B,C,D,C,0.0,1.0,0.0,0.0,1.0
6892,-14.5,-2.49,15.76,-2.38,-0.97,-6.02,11.03,2.32,8.4,-2.78,80,8,71,45,48,B,D,C,B,E,0.0,0.0,1.0,1.0,1.0
7753,-14.35,-1.21,15.86,-1.94,-2.58,0.74,11.76,0.73,-2.65,4.2,97,16,40,73,13,B,E,C,E,C,0.0,1.0,1.0,0.0,0.0
8615,-16.43,3.5,17.94,3.5,-2.7,-3.58,10.61,4.52,5.43,-7.4,96,13,88,79,59,B,A,B,C,E,0.0,1.0,0.0,0.0,0.0
6650,-15.55,-7.41,16.28,-7.38,-7.62,8.49,10.03,3.63,3.57,1.51,88,12,11,30,2,C,E,C,C,E,0.0,1.0,0.0,1.0,0.0
2228,15.59,14.5,2.18,-1.95,0.57,8.02,-0.23,12.06,-5.34,7.89,16,90,6,60,9,B,E,C,D,E,1.0,0.0,0.0,1.0,1.0
12061,-0.21,1.92,1.59,2.79,0.03,-3.02,-2.57,17.14,-4.89,-0.2,40,40,69,21,13,C,C,B,B,B,1.0,1.0,0.0,1.0,0.0
19123,-1.58,3.16,2.01,-16.99,-12.83,7.07,0.24,-5.33,9.89,-5.28,32,71,34,33,88,D,E,A,E,A,1.0,0.0,0.0,0.0,0.0
9623,-17.99,2.3,15.71,0.54,-7.17,-1.3,9.33,-0.74,6.96,-8.11,94,3,84,66,50,C,B,D,A,E,1.0,1.0,0.0,1.0,0.0
12280,0.48,2.33,0.27,-3.17,1.43,3.4,5.45,6.79,1.23,0.49,51,55,28,87,40,C,B,E,C,C,0.0,0.0,0.0,0.0,0.0
16448,0.21,0.8,3.39,-14.4,-14.25,-0.2,0.53,8.21,11.96,-4.75,30,67,48,94,18,D,D,C,E,D,1.0,1.0,0.0,1.0,0.0
424,15.92,10.7,-4.54,-1.36,0.84,6.51,-3.95,5.94,-0.44,-0.72,12,97,53,4,99,A,E,C,C,A,1.0,1.0,1.0,0.0,1.0
14338,-0.81,3.19,1.55,3.34,-0.47,2.92,-2.73,10.49,-7.11,-2.07,49,40,98,40,63,C,A,C,B,A,0.0,0.0,0.0,1.0,1.0
22164,2.63,-9.02,-3.34,5.73,11.39,-9.18,5.07,-6.06,-5.15,15.42,78,20,27,53,88,A,C,D,D,A,0.0,0.0,0.0,0.0,1.0
19840,0.26,4.45,2.34,-13.21,-13.87,-9.66,13.33,-3.3,9.69,-1.04,29,62,26,20,99,D,A,D,D,D,1.0,1.0,0.0,0.0,0.0
12457,-1.09,-2.48,-1.26,-2.02,-1.88,0.24,-2.73,9.96,-7.78,-1.3,59,59,81,81,12,D,D,A,A,D,1.0,1.0,0.0,0.0,1.0
10278,-4.27,1.52,-1.46,0.39,1.36,8.86,-3.91,7.27,-1.28,1.53,46,49,72,74,31,C,A,A,D,C,0.0,0.0,0.0,0.0,0.0
23086,2.14,-8.52,-0.36,3.84,16.64,-0.28,-0.1,-11.48,2.32,10.63,70,27,37,90,58,E,C,B,D,A,0.0,1.0,0.0,1.0,0.0
1806,17.51,10.46,-2.02,-6.03,-0.32,10.21,-7.45,5.1,5.98,4.5,14,80,53,54,90,A,C,D,D,A,1.0,0.0,1.0,0.0,1.0
2791,15.73,15.23,1.05,2.97,-0.7,11.22,0.94,3.61,0.36,0.76,19,84,34,46,74,A,D,C,E,B,1.0,0.0,0.0,1.0,1.0
24428,-0.62,-11.8,-1.07,7.3,15.43,8.75,14.71,-2.39,3.41,9.16,72,33,57,27,33,E,B,C,A,D,1.0,0.0,1.0,1.0,1.0
17717,-1.01,5.81,2.47,-16.31,-13.07,-1.48,-0.9,-4.25,12.65,8.36,39,67,40,46,27,D,A,B,D,E,1.0,1.0,1.0,1.0,1.0
4973,12.8,9.3,-6.21,-5.03,-0.72,7.7,6.7,0.17,2.38,8.96,10,98,67,96,96,A,E,C,D,C,1.0,0.0,0.0,1.0,1.0
7614,-13.47,0.1,12.97,-4.71,-3.51,1.28,7.74,2.61,-0.96,4.71,97,2,58,17,64,B,B,E,C,C,1.0,1.0,0.0,0.0,0.0
17239,5.26,8.93,3.45,-18.07,-16.52,3.47,-1.14,-6.79,12.84,3.32,29,77,58,78,54,D,E,E,E,D,1.0,1.0,0.0,1.0,1.0
13571,2.66,-1.71,-0.28,0.6,1.07,5.77,3.01,7.71,0.15,0.7,55,41,30,47,47,D,B,C,C,B,1.0,0.0,1.0,1.0,1.0
7947,-15.56,-3.96,15.5,0.99,-0.71,1.15,4.21,-4.56,-2.12,2.93,96,10,76,94,58,C,D,B,E,B,0.0,1.0,0.0,0.0,1.0
5101,-12.91,1.85,12.68,-1.94,-1.66,0.08,8.38,1.69,1.46,-0.75,91,10,74,47,34,B,C,C,C,E,0.0,1.0,0.0,1.0,0.0
23949,-2.22,-10.78,-2.84,3.39,12.33,0.4,-7.95,0.4,-11.29,3.48,76,21,3,30,19,E,A,A,A,C,1.0,1.0,0.0,0.0,0.0
21183,1.95,-10.28,-5.49,2.67,15.03,3.09,-0.12,0.54,3.78,12.74,64,39,48,49,76,A,D,E,A,D,0.0,0.0,0.0,0.0,0.0
734,12.93,9.94,-2.18,-2.19,3.63,3.48,7.06,0.12,-1.49,9.31,7,97,37,2,23,A,B,A,C,D,1.0,0.0,1.0,1.0,0.0
18405,1.71,-2.77,3.15,-15.51,-15.91,-2.57,-0.71,-5.94,6.9,-3.96,34,62,71,39,73,E,E,E,A,A,1.0,0.0,0.0,0.0,1.0
3849,16.65,12.56,0.65,1.23,1.57,8.9,0.05,-3.22,1.68,1.53,9,83,69,12,93,B,E,C,E,C,1.0,0.0,0.0,1.0,1.0
22715,0.08,-7.5,-1.13,6.31,14.15,-7.3,5.05,1.53,-1.22,11.59,76,36,16,63,24,A,D,E,D,D,0.0,0.0,1.0,1.0,0.0
9889,-13.22,1.17,15.3,-5.17,-4.46,-1.82,3.05,-4.83,-5.11,-5.6,85,10,81,92,81,B,C,C,D,D,0.0,0.0,0.0,0.0,1.0
4406,12.84,11.66,1.69,-3.18,-4.18,12.99,1.98,-2.62,2.38,-4.11,5,100,92,17,60,A,B,C,E,C,1.0,0.0,1.0,1.0,1.0
22684,-3.93,-7.84,1.35,1.66,17.04,-0.71,3.64,-3.5,4.58,10.42,63,21,5,57,78,E,D,C,C,B,0.0,0.0,1.0,0.0,1.0
3353,14.54,14.17,3.27,-0.4,0.27,13.09,6.27,4.61,-6.21,4.93,19,95,81,65,49,A,E,B,D,C,1.0,1.0,1.0,0.0,0.0
15192,-0.58,3.54,1.18,-15.57,-12.59,2.48,-8.05,6.41,5.68,7.04,23,76,88,99,70,D,A,C,C,A,1.0,1.0,1.0,1.0,1.0
15695,4.0,1.21,-1.24,-12.51,-13.12,-4.09,-9.16,12.33,2.57,9.49,20,63,53,68,76,E,A,E,A,D,1.0,1.0,0.0,0.0,1.0
19947,1.46,3.47,-3.27,-15.6,-12.62,5.83,3.85,3.86,12.38,4.17,30,77,94,10,61,E,D,A,E,C,1.0,1.0,0.0,0.0,0.0
14355,0.33,1.16,2.83,-0.09,-0.92,-1.14,-1.2,12.7,-9.39,-2.57,43,60,9,70,95,C,E,D,C,C,0.0,1.0,1.0,1.0,1.0
21743,-0.54,-9.71,4.19,6.72,17.02,5.67,0.57,-7.93,-8.52,9.3,79,37,67,30,60,E,D,D,C,C,0.0,0.0,1.0,1.0,1.0
18354,7.83,0.03,4.33,-15.69,-13.76,1.97,-5.0,0.59,4.47,-3.37,39,66,85,9,59,D,C,D,D,B,1.0,1.0,1.0,0.0,1.0
17581,1.72,1.32,-0.39,-15.57,-12.52,-0.37,-0.41,4.25,11.38,5.08,23,65,46,100,70,D,A,B,C,D,1.0,1.0,1.0,1.0,0.0
22489,5.23,-10.36,-3.09,1.26,17.24,3.48,-6.03,-2.66,9.55,15.36,68,34,57,3,100,E,D,C,B,C,0.0,0.0,0.0,0.0,0.0
14093,2.32,-0.91,-0.34,-2.05,2.72,5.79,0.2,10.66,1.07,-2.28,45,46,6,37,71,C,D,E,E,E,0.0,1.0,1.0,1.0,1.0
20524,0.99,-10.64,-2.02,-1.77,13.64,7.68,8.89,5.34,-3.24,15.76,72,34,66,6,53,E,A,B,A,A,0.0,1.0,0.0,1.0,0.0
3493,17.9,15.86,-1.06,0.22,-4.52,11.02,1.61,11.55,5.87,6.21,10,88,7,70,47,A,C,D,C,C,1.0,0.0,0.0,0.0,0.0
19350,2.73,3.8,6.56,-12.13,-14.02,1.08,5.56,9.24,11.61,7.16,26,64,13,28,1,D,E,E,E,E,1.0,1.0,0.0,0.0,0.0
15658,2.47,1.19,2.12,-17.05,-12.18,4.57,-5.2,-11.36,8.1,9.56,32,74,3,94,71,D,E,A,A,C,0.0,1.0,0.0,0.0,0.0
3590,17.4,14.71,4.73,-5.83,1.13,4.45,-2.09,3.77,6.34,-7.2,8,98,45,93,2,B,B,D,D,C,0.0,0.0,1.0,0.0,1.0
8125,-14.96,-6.77,16.41,0.45,-0.65,9.24,10.86,-5.07,-0.96,1.6,93,5,77,37,45,B,A,C,A,E,0.0,1.0,0.0,1.0,0.0
18666,2.2,5.26,3.64,-12.07,-13.06,6.2,5.91,3.97,3.62,-0.56,32,61,57,28,15,D,C,B,D,A,0.0,1.0,0.0,0.0,1.0
12043,-1.27,0.88,4.91,-1.07,-1.65,2.05,-2.41,10.39,0.89,-8.21,43,49,93,70,4,C,C,E,A,D,1.0,0.0,0.0,1.0,0.0
8505,-14.26,1.03,12.51,0.55,-11.33,-8.68,8.67,-1.21,1.8,6.49,100,3,47,43,70,B,E,A,D,D,0.0,1.0,1.0,1.0,0.0
18725,-5.05,4.31,-3.31,-16.18,-12.04,6.06,-4.35,-3.38,10.82,6.8,31,60,98,3,6,D,C,B,A,B,1.0,1.0,0.0,0.0,1.0
6254,-15.11,-1.1,14.73,-3.16,0.44,-4.18,6.72,7.32,-3.99,-2.7,99,3,46,33,62,C,C,A,D,A,0.0,1.0,1.0,0.0,0.0
17245,0.4,2.87,-2.42,-16.0,-13.43,-0.38,-7.7,-3.68,14.43,-3.46,26,64,14,70,38,D,E,E,A,D,0.0,0.0,1.0,1.0,1.0
12332,3.05,0.18,1.83,4.23,-1.46,-3.52,2.98,7.43,-7.65,5.42,51,51,48,94,52,C,C,B,B,B,0.0,0.0,1.0,1.0,1.0
20199,1.32,-11.11,1.32,-1.25,14.02,-6.61,-2.2,6.85,1.88,11.74,62,31,73,18,53,E,C,D,B,E,0.0,1.0,0.0,1.0,1.0
867,15.45,8.84,-4.27,-3.81,1.07,5.84,2.1,-6.3,-1.04,4.21,19,95,84,20,87,A,B,E,B,C,1.0,0.0,0.0,1.0,0.0
11507,1.39,1.23,-1.74,1.09,1.36,2.81,-5.79,12.52,6.46,2.85,45,48,4,88,50,D,E,A,D,E,0.0,0.0,1.0,1.0,0.0
12891,3.72,3.84,1.68,2.43,-0.35,-0.49,6.27,8.2,-0.12,4.73,45,47,28,16,38,C,E,B,C,D,1.0,1.0,0.0,1.0,0.0
15979,-1.0,4.28,-2.07,-17.47,-12.66,-5.19,7.25,5.37,10.63,8.16,24,62,96,79,97,D,C,A,A,B,1.0,1.0,1.0,0.0,1.0
12759,-2.55,-0.78,-0.47,-0.57,0.48,2.51,-1.66,8.04,5.49,6.9,41,49,16,73,41,C,D,C,C,A,0.0,1.0,1.0,0.0,0.0
21917,-1.64,-9.31,-3.63,2.58,13.86,-6.95,0.93,2.28,0.37,7.83,68,34,27,26,97,A,D,C,E,B,0.0,0.0,1.0,0.0,1.0
9808,-15.96,6.94,14.87,-2.01,-2.85,-4.25,15.0,13.13,-5.5,0.47,86,19,81,26,87,B,A,D,E,C,0.0,1.0,1.0,1.0,0.0
5036,-12.02,-0.06,13.9,-2.81,-1.56,-5.05,10.33,-0.59,2.05,-3.47,80,17,69,64,33,C,A,A,B,C,0.0,1.0,1.0,1.0,0.0
